Verifying with hexadecimal (base-16) digit sums...

✓ 4 (n=2): root=2, hexadecimal_sum=4, 2 == 4-2
✓ 9540156997422779842338200617169839224679958059359793757276854105272143539739498096903094890633252597816698518177661223421178877047497663443227124135948002958684810437262058258056640625 (n=60): root=1165, hexadecimal_sum=1225, 1165 == 1225-60
✓ 2088835270801720640604791806037819977647191966750262609514875828423699301167974087743314041040077005624585446447377175935489594552578774188758983717430834164137984 (n=66): root=288, hexadecimal_sum=354, 288 == 354-66
✓ 2109185584376188123007538854357306208523849958112480933635540421159939641179628677750154831275052249657765727263038507241019834860324578114779771471896418656658128896 (n=62): root=464, hexadecimal_sum=526, 464 == 526-62
✓ 494127343665298204139882738901606683712818692100925503769763845011651591075326701525675828875234065725097534998212030509538125692284083173519692941514402435308506724968025087279104 (n=66): root=528, hexadecimal_sum=594, 528 == 594-66
✓ 3890471406857895729619713835826911130823535579744684079302078795986126817741424003142738290562032670603084469996437634214680142307910404117429747776072361917727067323217293774358751476401045504 (n=66): root=828, hexadecimal_sum=894, 828 == 894-66
✓ 449491028112123385636763760961200706203396459307112980120512808299963149752543837402693229778566123757991837958788581259344790215415396948235986076031376666955882072059448444881885420182024462032462413824 (n=66): root=1218, hexadecimal_sum=1284, 1218 == 1284-66
✓ 1718282196701822343774915448302374991506819689285278233440274048359625967499492716458727645498462664132608564388154263161333796092328983845704091277789219927529749120001751316391130397106319994513105666649 (n=66): root=1243, hexadecimal_sum=1309, 1243 == 1309-66
✓ 110154279475859819853904459832001679678132978409672133689074854514455076685185396183260577603805095622709529563139308514426410992565031185928274998728953431649226624946392640927647546073333146960013938375775777921 (n=68): root=1313, hexadecimal_sum=1381, 1313 == 1381-68
✓ 1556921817397229536227829474176754208394793232447552501106128932839739956846702065733233996838367182512420407798867351972061169436360950595145073750831556856104185160570618182852314142992189633707396269744785237823543142561 (n=72): root=1219, hexadecimal_sum=1291, 1219 == 1291-72
✓ 31540998910310211627314548021239473828778140052400761092459373281676193412374818977687800410938259307017188175657653360175034882335325751072987930369540021809057952881958449546958635256926367926403682038896455375521456849659201 (n=72): root=1399, hexadecimal_sum=1471, 1399 == 1471-72
✓ 258224987808690858965591917200301187432970579282922351283065935654064762201684119462964535328013783143590317197274749337600000000000000000000000000000000000000000000000000000000000000000000000000000000 (n=80): root=320, hexadecimal_sum=400, 320 == 400-80
✓ 63940723004428171910574418081595152731171636099054691319812842954232486480070305555884908912432259102956730330509263774218187389665411858929607903830088322816405919908648034585207313575648183815125942601806793075314208538624 (n=75): root=964, hexadecimal_sum=1039, 964 == 1039-75
✓ 1349051287243004766962548568382397733534560765543263536514792510655344685077176354440203082423589364047932436377649374104582737274157350662841499671531232307328646500576831794538201753436143781142010283805082324075330481946624 (n=75): root=1004, hexadecimal_sum=1079, 1004 == 1079-75
✓ 79056920785993512879484236334755512188476617382219240496708438812595561494405786593487988479721152435428362243940873755108752051101692295117910757605376000000000000000000000000000000000000000000000000000000000000000000000000000 (n=75): root=1060, hexadecimal_sum=1135, 1060 == 1135-75
✓ 64701789372967091036002556249713389188982970645514295238428732682610976867350944974160671209444515337006880426636513516419261030952190004306728762151739564439085998429052856285718390980366877143874790616659809316214061908231695467751 (n=75): root=1271, hexadecimal_sum=1346, 1271 == 1346-75
✓ 248353751699183122832411996874183158422438447800130545448117651987758298310742357483636054916123472932044512394722972993233709328946281739565804031111027154184111609847390306286762641539797489990139728600655948451682911169516744474624 (n=75): root=1294, hexadecimal_sum=1369, 1294 == 1369-75
✓ 1043180994114059432289233357831913651647980854945712213177128624318382103527933649409999802533215763099655750875761272193314060090685257629885374649094715906154878159250348889790740764637818323154313218278645078592002522048193560138999 (n=75): root=1319, hexadecimal_sum=1394, 1319 == 1394-75
✓ 18958724219594934698547556444714830355361819188202846109014624211219939149003019323540649818037779042854636586804920640502481988113509588867629854958713823755269200415713152952882840424767278725453392169615509189854556251972315167325251 (n=75): root=1371, hexadecimal_sum=1446, 1371 == 1446-75
✓ 147341295203806071667236901902978482514196701445150626066001187363602261008610120328697031723486150792160388595701585428394568120093781773377066148937869577838517378715198705015159699609311440659648408499483046417274842207676868795653249 (n=75): root=1409, hexadecimal_sum=1484, 1409 == 1484-75
✓ 202643645425118243944792929052611931833688644583548855051615504671413172853429378170883892117889675879976448311133606382689333998797843261809510682366472011658697258756770758586178906124431199609579878906373551217257045209407806396484375 (n=75): root=1415, hexadecimal_sum=1490, 1415 == 1490-75
✓ 5592590875166743121298853483184557258909602929844427233790638380216432059100966943153882588056428717584478793327809172487818876193330561040356706480656922213360028878055226094748449733098168912868045973605340455334407147469912186806550999 (n=75): root=1479, hexadecimal_sum=1554, 1479 == 1554-75
✓ 292529992055739524481933623826652370503463255288984709193069291311014895343250947889237453724224084212669490705066664286279340717968237725380878297212806518920741804125331660274386082702606651334477381789331375704179753925177869419547183789011528787201 (n=80): root=1391, hexadecimal_sum=1471, 1391 == 1471-80
✓ 44096557003605745790624658811661739003492264053728388719280811738335967312195644144936379275329600805842566540309723530198179262329670625016268454959381480957391834639456492183726924218372119829490002234284067907667143797773504978914088756077083714102401 (n=80): root=1481, hexadecimal_sum=1561, 1481 == 1561-80
✓ 1057331321254358699054329704976224061877287253259534032821972614639131801445838566960088419732156084946508239460294627768617865552800940687563497401401372601879989860940060375285366585804979220797668116132860889368988671836243847969087011265418131107819201 (n=80): root=1541, hexadecimal_sum=1621, 1541 == 1621-80
✓ 340127441413552391573396182283882701353268779890727150045619695086118043954802576228520967333643986919441922597273486091325833664476561919116971055670073822277819744858786792731652027542836608682338885328512289197927844159573116421135054590663028656987248409249487405121 (n=84): root=1617, hexadecimal_sum=1701, 1617 == 1701-84
✓ 463665804376945160139362611735867633063110987512204779055005021254987403642942640851785216174805549970737470388063157695560550320463042729049705673192758193070462244089047054206543181181894498833739570873850806877695253309252472290450380445628490668981072692116167230620696576 (n=90): root=1156, hexadecimal_sum=1246, 1156 == 1246-90
✓ 11070209831684224555602807917914528092544493683131503931409039363199351615003893861010872775716127167399457038742530608130275626813825931673460751929113567226917292889050003457692661421772988229591136446310325682410597611644538165506610202465449321258442044857989594087424 (n=86): root=1418, hexadecimal_sum=1504, 1418 == 1504-86
✓ 3506149703609033873474666014655455613462343636731372644053788637299370781039940769404713167059659850228799517644766546802553453044444769978127261850998045777248491645011868872430424852180867435549115692704298442474739818570213872069207187142179415616849364888729730008081543849 (n=86): root=1643, hexadecimal_sum=1729, 1643 == 1729-86
✓ 37288980964074262477906466170360589835718826576508183033503236099632736680260235223521839073163121028244134770235285222524582465524765265168980789453042832410291973414910248580745350427300702552992182690303170866059298740402371338379497827289942723052587860673446901829378802821733752395268096 (n=92): root=1514, hexadecimal_sum=1606, 1514 == 1606-92
✓ 339827245245813329657711322042398026855913981407406394173197963122952862171193990380610436869327439015321950983636614913380469041262655092100200364698764360170671656600308318234487215184993073982386144455474990428905329636978907105364040119610673757801937663132038253851712380980718206976 (n=90): root=1566, hexadecimal_sum=1656, 1566 == 1656-90
✓ 10019561451793988971365078580434686167987944922466030430742346487903723284356104008031587539476662365500060208168606785239797390923811577797169561657390221379672521902747732077713912067870872827047854962631437090014020564428438182751515081379447225054281163823676149654080566224539013349376 (n=90): root=1626, hexadecimal_sum=1716, 1626 == 1716-90
✓ 982880816377163310261939614667471815933210480655260059295686319868790270667135321100787050905372849117696525956266475288108835035484536190829049709294003558725843889526256212641663780551088143945502085453715806697455450723563694608771315290293669320156148483495493560876721484260951840154401 (n=90): root=1711, hexadecimal_sum=1801, 1711 == 1801-90
✓ 4697744584355156482745726453299714931257912152605801763070066961803493163881012040240024065243690966216483780213315266548650789632187978866486183291496071141645148643365249552081629974366160241501917312215190973568508494883799606244476722083474070898094494023169895424780854364956295922814601 (n=90): root=1741, hexadecimal_sum=1831, 1741 == 1831-90
✓ 1201899366838648068641342730338829130200137310439080759293828142318901466647907674416481339920022400600925355580217745770976984792176612827245819478232331823289988095122097225663145644970570982479222161781924652616281180042229480720194765406885811685059749386942553212999880937350975248156307484930195465437184 (n=102): root=1072, hexadecimal_sum=1174, 1072 == 1174-102
✓ 133237505831827890107184130130639415685435343716873099485665058178917351849152763041652951519929548825188391389906822856262679036645473731268822776126756545558300920161506970395148110149970953337368505051347886889540976680607656258798014841822363247247095195390244026780513391931933570368535622762073423872 (n=99): root=1208, hexadecimal_sum=1307, 1208 == 1307-99
✓ 45465854090989499832526282831165956155124933948822145559053344562649649393506765116918737294852044082086027015448795207880514250205211993876375201581745460033948472069793729212272900297966698453685188725701849247768503686322017286496868115048111782903641725889737420348705715521019990992651571904343606895871979945984 (n=102): root=1272, hexadecimal_sum=1374, 1272 == 1374-102
